name,apps,mins,goals,xg,Goals vs xG,shots,sot,conv %,xG per Shot
Erling Haaland,7,596,9,7.71,1.29,29,14,31.03%,0.27
Jean-Philippe Mateta,7,603,2,4.08,-2.08,17,11,11.76%,0.24
Enzo Fernández,7,619,3,3.75,-0.75,11,5,27.27%,0.34
Bruno Fernandes,7,627,2,3.70,-1.70,16,6,12.50%,0.23
Antoine Semenyo,7,630,6,3.59,2.41,17,9,35.29%,0.21
Viktor Gyökeres,7,578,3,3.02,-0.02,15,5,20.00%,0.20
Ismaïla Sarr,5,434,3,2.91,0.09,7,4,42.86%,0.42
Chris Wood,7,528,2,2.77,-0.77,16,6,12.50%,0.17
Igor Thiago,7,564,4,2.57,1.43,12,6,33.33%,0.21
Beto,7,426,1,2.54,-1.54,11,3,9.09%,0.23
Danny Welbeck,7,367,2,2.45,-0.45,7,3,28.57%,0.35
Jaidon Anthony,7,591,4,2.16,1.84,12,7,33.33%,0.18
Iliman Ndiaye,7,589,3,2.15,0.85,6,5,50.00%,0.36
Mohamed Salah,7,629,2,1.96,0.04,12,5,16.67%,0.16
Bryan Mbeumo,7,596,1,1.95,-0.95,17,7,5.88%,0.11
Nick Woltemade,4,305,3,1.94,1.06,7,3,42.86%,0.28
Hugo Ekitiké,6,386,3,1.92,1.08,10,4,30.00%,0.19
Amad Diallo,6,447,0,1.89,-1.89,11,4,0.00%,0.17
Jurriën Timber,7,523,2,1.89,0.11,9,5,22.22%,0.21
Riccardo Calafiori,7,529,1,1.83,-0.83,14,1,7.14%,0.13
Kevin Schade,7,573,1,1.73,-0.73,10,4,10.00%,0.17
Richarlison,7,454,3,1.68,1.32,15,5,20.00%,0.11
Yankuba Minteh,7,593,1,1.61,-0.61,11,3,9.09%,0.15
Benjamin Sesko,7,385,2,1.59,0.41,12,6,16.67%,0.13
Estêvão,6,265,1,1.58,-0.58,8,4,12.50%,0.20
Ollie Watkins,7,600,1,1.53,-0.53,11,3,9.09%,0.14
João Pedro,7,586,2,1.53,0.47,10,3,20.00%,0.15
Lucas Paquetá,7,607,2,1.53,0.47,9,4,22.22%,0.17
Brajan Gruda,7,220,1,1.41,-0.41,9,3,11.11%,0.16
Dango Ouattara,6,313,1,1.39,-0.39,6,4,16.67%,0.23
Dominic Calvert-Lewin,5,357,1,1.34,-0.34,9,7,11.11%,0.15
Jacob Murphy,6,311,0,1.32,-1.32,12,5,0.00%,0.11
Eberechi Eze,6,397,0,1.32,-1.32,17,6,0.00%,0.08
Matheus Cunha,6,352,0,1.31,-1.31,15,7,0.00%,0.09
Cody Gakpo,7,555,2,1.29,0.71,16,4,12.50%,0.08
Evanilson,7,618,1,1.29,-0.29,15,4,6.67%,0.09
Mohammed Kudus,7,620,1,1.28,-0.28,13,5,7.69%,0.10
Anthony Gordon,4,272,0,1.25,-1.25,12,4,0.00%,0.10
Wilson Isidor,7,379,3,1.23,1.77,15,5,20.00%,0.08
Bukayo Saka,5,348,2,1.21,0.79,9,3,22.22%,0.13
Noah Okafor,5,308,2,1.16,0.84,6,2,33.33%,0.19
Yéremy Pino,5,310,0,1.13,-1.13,8,2,0.00%,0.14
Tijjani Reijnders,7,609,1,1.04,-0.04,14,5,7.14%,0.07
Casemiro,6,330,1,1.04,-0.04,5,1,20.00%,0.21
Dominik Szoboszlai,7,630,1,1.03,-0.03,16,3,6.25%,0.06
Florian Wirtz,7,486,0,1.03,-1.03,9,3,0.00%,0.11
Morgan Gibbs-White,7,554,0,1.00,-1.00,14,3,0.00%,0.07
Lyle Foster,7,571,1,0.93,0.07,7,1,14.29%,0.13
Marcus Tavernier,7,501,1,0.93,0.07,10,3,10.00%,0.09
Jack Grealish,7,556,1,0.91,0.09,10,5,10.00%,0.09
Harvey Barnes,7,316,0,0.90,-0.90,8,1,0.00%,0.11
Brennan Johnson,7,269,2,0.90,1.10,4,2,50.00%,0.22
Chemsdine Talbi,7,504,0,0.89,-0.89,8,1,0.00%,0.11
Sepp van den Berg,7,630,0,0.87,-0.87,4,3,0.00%,0.22
David Brooks,7,459,0,0.87,-0.87,13,3,0.00%,0.07
Rodrigo Muniz,5,318,1,0.86,0.14,8,2,12.50%,0.11
Niclas Füllkrug,6,380,0,0.85,-0.85,8,3,0.00%,0.11
Daniel Muñoz,7,630,1,0.83,0.17,10,4,10.00%,0.08
Enzo Le Fée,6,377,1,0.83,0.17,2,1,50.00%,0.41
Sasa Lukic,7,550,0,0.82,-0.82,6,1,0.00%,0.14
Jarrod Bowen,7,630,3,0.81,2.19,15,7,20.00%,0.05
Michael Keane,7,605,1,0.79,0.21,8,2,12.50%,0.10
Phil Foden,5,353,1,0.76,0.24,9,3,11.11%,0.08
Ladislav Krejcí,4,360,1,0.76,0.24,3,3,33.33%,0.25
Kaoru Mitoma,6,510,1,0.76,0.24,6,3,16.67%,0.13
Idrissa Gueye,7,616,1,0.75,0.25,10,2,10.00%,0.07
Donyell Malen,7,230,2,0.75,1.25,8,3,25.00%,0.09
Santiago Bueno,4,304,1,0.75,0.25,1,1,100.00%,0.75
Trevoh Chalobah,6,482,2,0.75,1.25,8,2,25.00%,0.09
Brenden Aaronson,7,397,0,0.74,-0.74,8,3,0.00%,0.09
Josh King,7,474,0,0.73,-0.73,10,5,0.00%,0.07
Emiliano Buendía,6,300,1,0.72,0.28,10,1,10.00%,0.07
Harry Wilson,7,441,1,0.71,0.29,9,3,11.11%,0.08
Micky van de Ven,7,620,1,0.69,0.31,4,1,25.00%,0.17
Maxim De Cuyper,6,296,1,0.67,0.33,2,2,50.00%,0.34
Jørgen Strand Larsen,5,365,0,0.65,-0.65,8,3,0.00%,0.08
Hwang Hee-Chan,6,278,1,0.64,0.36,5,2,20.00%,0.13
Anton Stach,7,607,1,0.64,0.36,12,2,8.33%,0.05
Marshall Munetsi,7,518,0,0.62,-0.62,6,2,0.00%,0.10
Elliot Anderson,7,630,0,0.62,-0.62,9,2,0.00%,0.07
Leandro Trossard,5,295,0,0.62,-0.62,6,0,0.00%,0.10
Anthony Elanga,7,328,0,0.61,-0.61,3,1,0.00%,0.20
John McGinn,7,551,1,0.61,0.39,7,2,14.29%,0.09
Jhon Arias,7,358,0,0.61,-0.61,7,2,0.00%,0.09
Pedro Neto,7,512,1,0.61,0.39,8,1,12.50%,0.08
Ibrahima Konaté,7,566,0,0.61,-0.61,3,0,0.00%,0.20
Pascal Struijk,7,630,0,0.61,-0.61,6,1,0.00%,0.10
Marc Guéhi,7,630,1,0.59,0.41,5,2,20.00%,0.12
Lucas Bergvall,6,367,1,0.59,0.41,5,3,20.00%,0.12
Habib Diarra,4,347,0,0.58,-0.58,6,1,0.00%,0.10
Joelinton,5,402,0,0.57,-0.57,6,2,0.00%,0.10
Jérémy Doku,7,388,0,0.56,-0.56,4,3,0.00%,0.14
Malick Thiaw,4,273,0,0.56,-0.56,4,2,0.00%,0.14
Omar Alderete,7,577,1,0.55,0.45,6,2,16.67%,0.09
João Palhinha,7,513,2,0.54,1.46,8,2,25.00%,0.07
Moisés Caicedo,7,630,3,0.52,2.48,8,4,37.50%,0.06
Crysencio Summerville,5,314,0,0.52,-0.52,4,1,0.00%,0.13
Dan Ballard,5,220,1,0.50,0.50,7,2,14.29%,0.07
Yasin Ayari,7,543,1,0.48,0.52,11,4,9.09%,0.04
Morgan Rogers,7,622,0,0.48,-0.48,7,4,0.00%,0.07
Eliezer Mayenda,5,246,1,0.48,0.52,4,2,25.00%,0.12
Gabriel Magalhães,7,630,1,0.48,0.52,5,1,20.00%,0.10
James Garner,7,630,1,0.47,0.53,12,4,8.33%,0.04
Matthijs de Ligt,7,630,0,0.46,-0.46,5,1,0.00%,0.09
Declan Rice,7,544,1,0.46,0.54,6,1,16.67%,0.08
Ryan Sessegnon,6,479,1,0.46,0.54,2,2,50.00%,0.23
Jan Paul van Hecke,7,630,1,0.45,0.55,4,2,25.00%,0.11
Callum Hudson-Odoi,7,398,1,0.45,0.55,6,4,16.67%,0.08
Jake O'Brien,7,630,0,0.43,-0.43,5,1,0.00%,0.09
Sean Longstaff,7,476,1,0.43,0.57,8,2,12.50%,0.05
Joachim Andersen,7,630,0,0.43,-0.43,3,1,0.00%,0.14
Timothy Castagne,5,308,0,0.43,-0.43,4,1,0.00%,0.11
Kiernan Dewsbury-Hall,6,540,1,0.43,0.57,6,1,16.67%,0.07
James Tarkowski,7,630,0,0.42,-0.42,1,0,0.00%,0.42
Ryan Gravenberch,6,540,2,0.42,1.58,10,4,20.00%,0.04
Konstantinos Mavropanos,5,450,0,0.42,-0.42,4,1,0.00%,0.11
Joe Rodon,7,630,1,0.42,0.58,6,2,16.67%,0.07
Wilson Odobert,7,238,0,0.41,-0.41,4,1,0.00%,0.10
Sander Berge,7,600,0,0.41,-0.41,1,1,0.00%,0.41
Alex Iwobi,7,547,1,0.40,0.60,10,3,10.00%,0.04
Daichi Kamada,5,437,0,0.39,-0.39,5,2,0.00%,0.08
Maximilian Kilman,7,630,0,0.39,-0.39,2,0,0.00%,0.20
Emmanuel Agbadou,7,525,0,0.38,-0.38,6,2,0.00%,0.06
Tyrick Mitchell,7,630,1,0.35,0.65,4,2,25.00%,0.09
Mason Mount,6,274,1,0.35,0.65,4,1,25.00%,0.09
Lewis Dunk,7,630,0,0.34,-0.34,6,0,0.00%,0.06
Chris Richards,7,630,0,0.34,-0.34,3,0,0.00%,0.11
Mikel Merino,6,243,1,0.34,0.66,4,2,25.00%,0.08
Oscar Bobb,6,362,0,0.33,-0.33,2,0,0.00%,0.16
Sandro Tonali,7,606,0,0.33,-0.33,9,3,0.00%,0.04
Alex Scott,7,453,1,0.33,0.67,7,1,14.29%,0.05
Tyrone Mings,6,482,0,0.33,-0.33,3,0,0.00%,0.11
Bruno Guimarães,6,540,2,0.32,1.68,4,2,50.00%,0.08
Evann Guessand,6,284,0,0.32,-0.32,2,2,0.00%,0.16
Loum Tchaouna,7,313,0,0.31,-0.31,5,1,0.00%,0.06
Maxence Lacroix,7,630,0,0.31,-0.31,2,1,0.00%,0.15
Pape Matar Sarr,6,375,1,0.31,0.69,3,2,33.33%,0.10
Lesley Ugochukwu,6,288,1,0.30,0.70,4,1,25.00%,0.08
